Title,avgRating,sentiment_rating_category,review/summary,sentiment_category,Genre,Author,Rating_Ordinal,Genre_Encoded,sentiment_categoty_encoded
Predator (Kay Scarpetta Mysteries),1.840085287846482,Average,down hill,Average,Fiction,Patricia Daniels Cornwell,2.0,1,2
The Hobbit or There and Back Again,4.655842670935285,Must Read,This is the The Hobbit to get.,Average,Juvenile Fiction,J. R. R. Tolkien,5.0,9,2
I am Legend,4.182619647355164,Must Read,Vivid but exhausting...,Poor,Horror tales,Richard Matheson,5.0,384,1
Adventures of Sherlock Holmes,4.371373307543521,Must Read,No frills packaging of classic tales,Average,"Detective and mystery stories, English",Arthur Conan Doyle,5.0,276,2
"Death on the installment plan, (A New Directions book)",4.5476190476190474,Must Read,Interesting read.,Good,Fiction,Louis-Ferdinand Céline,5.0,1,3
Great Expectations (Enriched Classics),4.0907990314769975,Must Read,Love Great Expectations!!!!!,Must Read,Foreign Language Study,Charles Dickens,5.0,37,5
Sailing Alone Around the World,4.426470588235294,Must Read,Sailing Alone Round the World,Average,Humor,Joshua Slocum,5.0,127,2
A Portrait of the Artist As a Young Man by James Joyce,3.8794788273615635,Very Good,another very very dull &quot;classic&quot;,Poor,Fiction,James Joyce,4.0,1,1
Control,4.2,Must Read,Goldman Wit and Elan -- Roar with Laughter...,Good,History,Eric Schlosser,5.0,8,3
Out of the silent planet (Avon),4.374558303886926,Must Read,Christian with a twist - C.S. Lewis's Space Trilogy - Out of the Silent Planet,Average,College teachers,Clive Staples Lewis,5.0,131,2
Of Mice and Men,4.350707371556218,Must Read,Classic for a reason,Average,Unknown,Unknown,5.0,0,2
"The Magehound (Forgotten Realms: Counselors & Kings, Book 1)",4.1923076923076925,Must Read,Strange setting-detatched feelings.,Average,Fiction,Elaine Cunningham,5.0,1,2
Helter Skelter,4.607913669064748,Must Read,"Fast, Full, and Scary",Average,True Crime,"Vincent Bugliosi, Curt Gentry",5.0,34,2
Offshore Havens: Using an International Entity for Asset Protection,3.909090909090909,Very Good,good book for the average nonlegal investor,Good,Unknown,Mark J. T. Pissarides Laffer,4.0,0,3
"""A"" IS FOR ALIBI",3.672727272727273,Very Good,A is for Alibi,Average,Fiction,Sue Grafton,4.0,1,2
A Darkness More Than Night,4.155709342560554,Must Read,Michael Connelly is a genious,Average,Unknown,Unknown,5.0,0,2
Wuthering Heights,4.05462962962963,Must Read,Classics are awesome,Very Good,Unknown,Emily Bronte,5.0,0,4
A Blessing of Bread,4.954545454545454,Must Read,Who doesn't love the smell of fresh baked bread.,Average,Unknown,Unknown,5.0,0,2
Hodio: Tales of an American P.O.W.,5.0,Must Read,HODIO,Average,History,Clarence Nixon Day,5.0,8,2
The Giver,4.2734170591313445,Must Read,Lois Lowry has a very vivid imagination! I loved this book!,Very Good,Juvenile Fiction,Lois Lowry,5.0,9,4
Mountaineering The Freedom of the Hills,4.835051546391752,Must Read,The mountaineering bible,Average,Sports & Recreation,The Mountaineers,5.0,68,2
Stranger in a Strange Land,3.967741935483871,Very Good,THE BEST 40 YEAR OLD SCI-FI BOOK EVER READ.,Very Good,Fiction,Robert A. Heinlein,4.0,1,4
The Lincoln Lawyer,4.530232558139535,Must Read,Coulda Been a great book,Very Good,Fiction,Michael Connelly,5.0,1,4
Jane Eyre / Wuthering Heights,4.050279329608938,Must Read,Wuthering Heights Review,Average,Boarding schools,Charlotte Brontë,5.0,291,2
The Count of Monte Cristo,4.587064676616915,Must Read,As good as it gets...,Good,Unknown,Alexandre Dumas,5.0,0,3
The Complete Handbook of Pro Basketball : 1975 Edition,5.0,Must Read,Great stuff!,Very Good,Sports stories,Zander Hollander,5.0,1466,4
Hymns for Signing - American Sign Language,3.3846153846153846,Very Good,Excellent resource for church interpreters,Very Good,Music,"Curt D. Keller, Various Artists",4.0,99,4
Fellowship of the Ring 2ND Edition,4.4539282250242485,Must Read,Cliched? Maybe. Epic? DEFINITELY.,Very Good,Adventure stories,John Ronald Reuel Tolkien,5.0,18,4
Divorce Busting: A Step-by-Step Approach to Making Your Marriage Loving Again,4.123076923076923,Must Read,Great help...no matter the outcome,Very Good,Family & Relationships,Michele Weiner Davis,5.0,48,4
Girls' Poker Night: A Novel of High Stakes,4.096618357487923,Must Read,If you can't relate to the hysterical and true elements of,Good,Fiction,Jill A. Davis,5.0,1,3
The once and future king (A laurel edition),4.197916666666667,Must Read,Somewhat Disappointing,Average,Unknown,Terence Hanbury White,5.0,0,2
Prep,3.306985294117647,Very Good,"'catcher' this is not, and thank goodness",Poor,Unknown,Carolin Pessin,4.0,0,1
Framley parsonage,4.6521739130434785,Must Read,Endless Optimism,Very Good,Fiction,Anthony Trollope,5.0,1,4
The Gospel of the Nazirenes,4.363636363636363,Must Read,how sad,Average,Religion,Rav Yaakov Bar Yosef,5.0,6,2
I Bought Andy Warhol,3.9523809523809526,Very Good,In Pursuit Of Pop.,Average,Art,Richard Polsky,4.0,46,2
A Year in Provence (Ulverscroft Large Print Series),4.293532338308458,Must Read,What may I have missed?,Average,Social Science,Peter Mayle,5.0,45,2
"Moby-Dick: or, The Whale (Penguin Classics Deluxe Edition)",4.25,Must Read,A whale of a tale,Average,Fiction,Herman Melville,5.0,1,2
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (The Chronicles of Narnia)",4.624579124579125,Must Read,Fantastic Fantasy,Very Good,Unknown,Unknown,5.0,0,4
Red Light Wives,3.840909090909091,Very Good,STOP AT YOUR NEAREST BOOKSTORE & BUY THIS BOOK!,Average,Unknown,Unknown,4.0,0,2
Book of Nonsense,4.5,Must Read,A collection of overlooked gems by a literary giant,Average,"""Childrens poetry, English""",Edward Lear,5.0,729,2
The Innocents Abroad,4.426829268292683,Must Read,One of the classic travelogues of all-time,Average,Fiction,Mark Twain,5.0,1,2
Structure and Interpretation of Computer Programs - 2nd Edition (MIT Electrical Engineering and Computer Science),3.566473988439306,Very Good,go back to skool!,Average,Computers,"Harold Abelson , Gerald Jay Sussman, Julie Sussman",4.0,65,2
The Hobbit,4.655606407322654,Must Read,The Hobbitt,Average,Juvenile Fiction,J. R. R. Tolkien,5.0,9,2
The pillars of society,5.0,Must Read,What is it that maintains society?,Average,Unknown,Henrik Ibsen,5.0,0,2
The Multi-Orgasmic Man: Sexual Secrets Every Man Should Know,4.083333333333333,Must Read,The technique works!,Average,Health & Fitness,"Mantak Chia, Douglas Abrams",5.0,19,2
Lord of the flies,3.9238643634037107,Very Good,Lord of the Flies Review by Adonios,Average,Fiction,William Golding,4.0,1,2
HYPERION,4.329819277108434,Must Read,Tremendous SCIFI,Average,Fiction,Dan Simmons,5.0,1,2
The Tortilla Curtain,3.6580459770114944,Very Good,No Jack Steinbeck... But damn Boyle is good. One of the best around today.,Must Read,Fiction,T. Coraghessan Boyle,4.0,1,5
The Possible Dream,3.8,Very Good,So THAT's how so many folks succeeded!,Very Good,Unknown,Charles Paul Conn,4.0,0,4
Pickles To Pittsburgh,3.44,Very Good,"Super, Super, Duper, Fabulous",Must Read,Juvenile Fiction,Judi Barrett,4.0,9,5
PEARL.,5.0,Must Read,Wonderful book!!,Very Good,Fiction,Dorothea Benton Frank,5.0,1,4
"A Tale of Two Cities, Literary Touchstone Edition",4.16243654822335,Must Read,"I did not enjoy the book, nor did I find it informative.",Average,Executions and executioners,Charles Dickens,5.0,134,2
The New Century Handbook,3.533333333333333,Very Good,Book not addressed as requested.,Average,Unknown,Unknown,4.0,0,2
The Possible Dream,3.8,Very Good,Puff piece by a writer with an interest in Amway's success,Must Read,Unknown,Charles Paul Conn,4.0,0,5
Crime & punishment;,4.393320964749536,Must Read,Great pshycological thriller,Very Good,Unknown,Unknown,5.0,0,4
Oracle Pl/Sql Programming,3.9183673469387754,Very Good,Fantastic,Very Good,Computers,"Steven Feuerstein, Bill Pribyl",4.0,65,4
"Morrigan's Cross (The Circle Trilogy, Book 1)",3.7757847533632285,Very Good,"Wizards, Witches, and Vamps .... oh my!!!",Average,FICTION,Nora Roberts,4.0,47,2
Breath by Breath: The Liberating Practice of Insight Meditation,4.716981132075472,Must Read,Inspiring and motivational,Good,Philosophy,"Larry Rosenberg, David Guy",5.0,29,3
"Twas the night before Christmas;: A visit from St. Nicholas,",4.361194029850746,Must Read,The Night Before Christmas,Average,"""Childrens poetry, American""",Clement Clarke Moore,5.0,235,2
Frankenstein (Running Press classics),4.0811518324607325,Must Read,MY FAVORITE BOOK,Good,Frankenstein (Fictitious character),Mary Wollstonecraft Shelley,5.0,413,3
Red Storm Rising,4.541884816753926,Must Read,Second reading,Average,Fiction,Tom Clancy,5.0,1,2
Owlsight,3.8783783783783785,Very Good,Much Better,Good,Fantasy fiction,"Mercedes Lackey, Larry Dixon",4.0,280,3
Life In The Fat Lane (Turtleback School & Library Binding Edition),4.394117647058824,Must Read,life in the fat lane,Average,Behavior,"James Patterson, Lisa Papademetriou",5.0,274,2
The Four Obsessions of an Extraordinary Executive: A Leadership Fable,4.492307692307692,Must Read,But How Do You Get Your CEO To Read It ?,Average,Business & Economics,Patrick M. Lencioni,5.0,7,2
Le Fin (Lambert),4.91358024691358,Must Read,surprise ending ROCKS!,Good,Unknown,G H. Morin,5.0,0,3
A princess of Mars,4.521390374331551,Must Read,Great story,Very Good,Fiction,Edgar Rice Burroughs,5.0,1,4
"Leonardo Drawings (Dover Fine Art, History of Art)",3.111111111111111,Very Good,Great for drawing practice,Very Good,Art,Leonardo da Vinci,4.0,46,4
Nights with Uncle Remus: Myths and legends of the old plantation,4.333333333333333,Must Read,Simply delightful!,Very Good,Unknown,Joel Chandler Harris,5.0,0,4
Manhunt Cassette,4.022471910112359,Must Read,Cute!!!,Very Good,True Crime,Colin Sutton,5.0,34,4
Dune,4.4204993429697765,Must Read,A Different Science Fiction Epic,Average,Art,Tanya Lapointe,5.0,46,2
The Official College Guide. 1999: Soccer (Official Guides to College Sports and College Scholarships) (Annual),5.0,Must Read,This book was invaluable!,Average,Credit,Gail A. Schlachter,5.0,1452,2
"ERAGON: INHERITANCE, BOOK ONE.",3.834874083519286,Very Good,A Contagious Read,Average,Dragons,Christopher Paolini,4.0,27,2
Angela's Ashes (Turtleback School & Library Binding Edition),4.476606363069245,Must Read,McCourt is a great storyteller in the Irish tradition.,Very Good,Fiction,Abraham Verghese,5.0,1,4
Doomsday Warrior (Doomsday Warrior No. 1),3.5,Very Good,Doomsday Warrior series,Poor,Fiction,Ryder Stacy,4.0,1,1
FEAR AND LOATHING IN LAS VEGAS a Savage Journey to the Heart of the American Dream,4.545138888888889,Must Read,How did this book ever get so much attention?,Average,Biography & Autobiography,Hunter S. Thompson,5.0,14,2
The Call: Discovering Why You Are Here,3.923076923076923,Very Good,Self descovery personified,Average,Religion,Oriah,4.0,6,2
HTML: Your visual blueprint for designing effective Web pages,4.538461538461538,Must Read,Excellent book for home users or new users to HTML,Very Good,Computers,"Eric Kramer, Ruth Maran",5.0,65,4
Pride & Prejudice (Penguin Classics),4.529123837493882,Must Read,The Sharpest Eye,Average,Young Adult Fiction,Ibi Zoboi,5.0,35,2
The Bear and the Dragon,2.4674012855831036,Good,Longer isn't necessarily better,Average,Fiction,Tom Clancy,3.0,1,2
Land of Plenty: A Treasury of Authentic Sichuan Cooking,4.573529411764706,Must Read,Made back the cost of the book in Kung Pao Chicken dinners,Average,Cooking,Fuchsia Dunlop,5.0,15,2
Campus Life Exposed: Advice from the Inside,4.666666666666667,Must Read,Funny and truthful answers for college freshman,Very Good,Education,Harlan Cohen,5.0,21,4
Starship Troopers,4.430962343096234,Must Read,'Find the cost of freedom . . . ',Very Good,Fiction,Robert Anson Heinlein,5.0,1,4
The Original Boogie Woogie: King of the Rhythm Novelties (Piano Solo),5.0,Must Read,the original Boogie woogie(piano solo),Good,Unknown,Unknown,5.0,0,3
Jane Eyre (Signet classics),4.490813648293964,Must Read,My go to book for years,Average,Fiction,Charlotte Brontë,5.0,1,2
Nineteen Eighty-four,4.563357972544878,Must Read,The review of a lifetime,Average,Totalitarianism,George Orwell,5.0,260,2
Baker Towers,3.8823529411764706,Very Good,An enjoyable read.,Good,Fiction,Jennifer Haigh,4.0,1,3
The poisonwood Bible : a novel,4.194021101992966,Must Read,On my top 5 all time favorite list,Very Good,Fiction,Barbara Kingsolver,5.0,1,4
Sunday Jews,2.4285714285714284,Good,Deep as the Ocean,Average,Fiction,Hortense Calisher,3.0,1,2
The complete Jack the Ripper,4.6923076923076925,Must Read,"Not complete, but good.",Average,True Crime,Donald Rumbelow,5.0,34,2
"THE SOLDIER'S BIBLE: with Special Prayer and Devotional Section for Army Personnel; Green, Bonded Leather with Slide-Tab Closure",4.636363636363637,Must Read,Great Bible,Very Good,Biography & Autobiography,Zac Miller,5.0,14,4
Black Boy: A Record of Childhood and Youth,4.346153846153846,Must Read,**Good For Adults--Not Kids**,Good,Biography & Autobiography,Richard Wright,5.0,14,3
A Christmas Wedding,3.5384615384615383,Very Good,Christmas Wedding,Average,Unknown,Unknown,4.0,0,2
If Nobody Speaks of Remarkable Things,3.973684210526316,Very Good,The audio version is a wonderful experience,Very Good,Fiction,Jon McGregor,4.0,1,4
Only Twice I've Wished for Heaven,4.657894736842105,Must Read,"caught, after a while...",Average,Fiction,Dawn Turner Trice,5.0,1,2
THE RED BADGE OF COURAGE: AN EPISODE OF THE AMERICAN CIVIL WAR.,3.624413145539906,Very Good,repetitious and needless words,Average,Unknown,Unknown,4.0,0,2
Let's Go 98 Europe (Annual),3.76,Very Good,Lets Go Better than the Rest.,Good,Periodicals,Unknown,4.0,462,3
Vanish,4.454022988505747,Must Read,Another great read,Very Good,Fiction,Tess Gerritsen,5.0,1,4
Dragon Thunder: My Life with Chgyam Trungpa,4.5,Must Read,Clueless Auther,Average,Religion,"Diana J. Mukpo, Carolyn Rose Gimian",5.0,6,2
"Give Me a Break : How I Exposed Hucksters, Cheats, and Scam Artists and Became the Scourge of the Liberal Media...",4.045871559633028,Must Read,of course liberals attack impircal data,Average,Biography & Autobiography,John Stossel,5.0,14,2
Key of Light (Key Trilogy),4.131782945736434,Must Read,Great Light reading,Very Good,Fiction,Nora Roberts,5.0,1,4
ALL CORVETTES ARE RED: The Rebirth of an American Legend,4.37037037037037,Must Read,Fantastic look at the business aspect of the C5 development,Very Good,Business & Economics,James Schefter,5.0,7,4
A Round-Heeled Woman: My Late-Life Adventures in Sex and Romance,3.574712643678161,Very Good,Couldn't even finish it,Average,Biography & Autobiography,Jane Juska,4.0,14,2
A Christmas carol: In prose,4.686507936507937,Must Read,Christmas Carol Reveiw,Average,Christmas stories,Charles Dickens,5.0,79,2
"ADO.NET: From Novice to Pro, Visual Basic .NET Edition",4.666666666666667,Must Read,"Good book, but not what you need if you need real world example",Good,Computers,Heather Wright,5.0,65,3
Naked,4.169042769857434,Must Read,Don't even attempt to drink milk while reading this book,Average,Unknown,Unknown,5.0,0,2
Mask of Benevolence: Disabling the Deaf Community,3.5833333333333335,Very Good,deaf,Average,Education,Harlan Lane,4.0,21,2
I Know What You Did Last Summer,4.136531365313653,Must Read,I Know What You Did Last Summer,Average,Young Adult Fiction,Lois Duncan,5.0,35,2
Abnormal Psychology,4.25,Must Read,Abnormal Psych,Average,Education,"V. Mark Durand, David H. Barlow, Stefan G. Hofmann",5.0,21,2
Danger! Explosive True Adventures of the Great Outdoors,5.0,Must Read,Danger!: Explosive true adventures of the great outdoors (An Outdoor Life Book),Very Good,Adventure and adventurers,Ben East,5.0,153,4
"The Hobbitt, or there and back again; illustrated by the author.",4.658597285067874,Must Read,The Hobbit - The spirit makes a man not the size or appearance,Good,Fiction,J. R. R. Tolkien,5.0,1,3
Brotherhood of Betrayal,4.055555555555555,Must Read,Betrayal....,Poor,Fiction,Randall Arthur,5.0,1,1
The Wind In the Willows,4.381877022653722,Must Read,A lovely rendition of a classic story,Very Good,Unknown,Unknown,5.0,0,4
Philosophy of Science: A Very Short Introduction,4.32258064516129,Must Read,Excellent introduction,Very Good,Unknown,Unknown,5.0,0,4
Harry Potter and The Sorcerer's Stone,4.73925838728664,Must Read,finally the end,Average,Juvenile Fiction,J. K. Rowling,5.0,9,2
The Journal of Albion Moonlight,4.7894736842105265,Must Read,Stunning - but will it stand the test of my time,Good,Unknown,Kenneth Patchen,5.0,0,3
Black Girl in Paris,3.4594594594594597,Very Good,Excellent,Very Good,Fiction,Shay Youngblood,4.0,1,4
The rebels (HIS The Kent chronicles ; v. 2),4.428571428571429,Must Read,Entertaining fluff,Good,Fiction,John Jakes,5.0,1,3
Academic Reading,4.25,Must Read,Well written and organized,Good,Foreign Language Study,Abbas Aghdassi,5.0,37,3
The PMP Exam: How to Pass On Your First Try (Test Prep series),4.460431654676259,Must Read,My only source when studying for the PMP exam,Average,Unknown,"Andy Crowe, Andy Crowe, Pmp, Pgmp",5.0,0,2
To Your Scattered Bodies Go,4.073684210526316,Must Read,Great Concept,Very Good,Fiction,Philip José Farmer,5.0,1,4
Questions That Matter: An Invitation to Philosophy,3.2,Very Good,my book!,Average,Philosophy,"Ed. Miller, Jon Jensen",4.0,29,2
Secrets of the Vine Bible Study,4.75,Must Read,Good,Good,Religion,Bruce Wilkinson,5.0,6,3
Walking to Canterbury: A Modern Journey Through Chaucer's Medieval England,3.8333333333333335,Very Good,A walk worth taking,Good,Travel,Jerry Ellis,4.0,23,3
Gerald's Game,3.5051903114186853,Very Good,Creepy story with deeply disturbing content.,Poor,Fiction,Stephen King,4.0,1,1
Don't Stop the Carnival,4.315789473684211,Must Read,Very Entertaining and Light Reading,Good,Fiction,Herman Wouk,5.0,1,3
Can't Wait to Get to Heaven: A Novel,4.283783783783784,Must Read,Not what I thought at all,Average,Fiction,Fannie Flagg,5.0,1,2
Introduction to Syriac: An Elementary Grammar With Readings from Syriac Literature,4.714285714285714,Must Read,Serious work,Average,Unknown,Unknown,5.0,0,2
1984,4.565726450239489,Must Read,2+2=5,Average,Fiction,George Orwell,5.0,1,2
The Stranger,4.1545741324921135,Must Read,great in all its simplicity,Very Good,Unknown,Harlan Coben,5.0,0,4
Scrawny to Brawny: The Complete Guide to Building Muscle the Natural Way,4.409638554216867,Must Read,Great nutritional information FOR ANYONE!,Very Good,Unknown,Unknown,5.0,0,4
The Hotel Pastis,4.2894736842105265,Must Read,VACATION READ,Average,Fiction,Peter Mayle,5.0,1,2
"Ilse Witch (The Voyage of the Jerle Shannara, Book 1)",4.132596685082873,Must Read,Something is missing . . . .,Average,Fiction,Terry Brooks,5.0,1,2
Earthfall (Homecoming),3.607142857142857,Very Good,Kindle edition is disrespectful to the readers,Average,Fiction,Orson Scott Card,4.0,1,2
Our Endangered Values:America's Moral Crisis,4.059027777777778,Must Read,Values?,Good,Social Science,Jimmy Carter,5.0,45,3
Bridge to Terabithia,4.356923076923077,Must Read,beautiful and moving story...,Very Good,"""Childrens stories""",Andrew Davenport,5.0,113,4
Thomas' Snowsuit,2.861111111111111,Good,Not good!,Average,JUVENILE FICTION,Robert N. Munsch,3.0,379,2
Under And Alone,4.626666666666667,Must Read,Fast-Paced Nonfiction Thriller,Good,Biography & Autobiography,William Queen,5.0,14,3
The Adventures of Oliver Twist,4.212464589235127,Must Read,There's only one way for a child to learn,Average,Criminals,Charles Dickens,5.0,455,2
The Outsiders,4.590630228667038,Must Read,The Outsiders,Average,Fiction,S. E. Hinton,5.0,1,2
"(ESV) English Standard Version Large Print Bible. Premium Bonded Leather, Black, Red Letter Text (English Language)",4.28310502283105,Must Read,I LOVE THIS BIBLE,Very Good,Bibles,Crossway Bibles,5.0,246,4
New Women's Dress for Success,3.611940298507463,Very Good,Offensive to Women,Average,Business & Economics,John T. Molloy,4.0,7,2
Mr. Popper's penguins,4.623318385650224,Must Read,Captain Cook,Average,Humorous stories,"Richard Atwater, Florence Atwater",5.0,175,2
A New Age Now Begins: a People's History of the American Revolution Vol 2,1.0,Poor,wrong vol,Average,History,Russell Crandall,1.0,8,2
The silver trumpet,4.2,Must Read,Stay the Course,Average,Unknown,"Owen Barfield, Marjorie Lamp Mead, Josephine Spence",5.0,0,2
O Pioneers! (Lrs Large Print Heritage Series),4.2052980132450335,Must Read,Alexandra Bergson: The Quintessential Female Heroine.,Very Good,Families,Willa Cather,5.0,292,4
The Stranger,4.1545741324921135,Must Read,Excellent Translation and Reading of a Classic Novel,Very Good,Unknown,Harlan Coben,5.0,0,4
Neverwhere,4.3633049817739975,Must Read,Like a gothic Alice in Wonderland,Good,Unknown,Unknown,5.0,0,3
Harry Potter and The Sorcerer's Stone,4.73925838728664,Must Read,Harry Potter and the Sorcerer's Stone,Average,Juvenile Fiction,J. K. Rowling,5.0,9,2
The Hobbit There and Back Again,4.657503379900856,Must Read,"Kind of like frosted flakes, grown-ups love it too!",Must Read,Adventure stories,John Ronald Reuel Tolkien,5.0,18,5
The Real Odessa - How Peron Brought the Nazi War Criminals to Argentina,4.333333333333333,Must Read,The Real Odessa: How Peron Brought the Nazi War Criminals to Argentina,Poor,Argentina,Uki Goñi,5.0,763,1
"Little women, or, Meg, Jo, Beth, and Amy (The Little Women series)",4.4434993924665855,Must Read,Great Read.,Very Good,Unknown,Unknown,5.0,0,4
The Pilgrimage: A Contemporary Quest for Ancient Wisdom,4.053571428571429,Must Read,Why do pilgrims criticize this book?,Average,Christian pilgrims and pilgrimages,Paulo Coelho,5.0,1008,2
Representations of the Intellectual (Reith Lectures),4.384615384615385,Must Read,High point in the history of the Reith Lectures,Average,Unknown,Unknown,5.0,0,2
Tender Is the Night,3.892857142857143,Very Good,No &quot;Gatsby&quot;,Average,Fiction,F. Scott Fitzgerald,4.0,1,2
Five People You Meet in Heaven,4.089450656295576,Must Read,Very moving story,Average,Fiction,Mitch Albom,5.0,1,2
Hatchet,4.37516254876463,Must Read,Fascinating!,Very Good,Juvenile Fiction,Gary Paulsen,5.0,9,4
The story of O;: A novel,3.5845588235294117,Very Good,A story of a woman's self-discovery and self-actualization,Average,Fiction,Pauline Reage,4.0,1,2
Brave New World,4.235071090047393,Must Read,Pretty good...,Very Good,Fiction,Aldous Huxley,5.0,1,4
Thinner,3.7,Very Good,Thinner,Average,Unknown,Unknown,4.0,0,2
Freckles,4.45,Must Read,Nice read,Good,Unknown,Cecelia Ahern,5.0,0,3
The Great Piratical Rumbustification & the Librarian and the Robbers,4.888888888888889,Must Read,An absolute gem,Average,Juvenile Fiction,Margaret Mahy,5.0,9,2
The deer hunter's bible,3.75,Very Good,New Hunter,Average,Sports & Recreation,George Laycock,4.0,68,2
Secrets of a Millionaire Landlord,3.55,Very Good,Common Sense,Average,Landlord and tenant,Robert Shemin,4.0,804,2
"Edmund Campion: Scholar, Priest, Hero And Martyr",4.642857142857143,Must Read,A Saint speaking out from Old England,Average,History,Evelyn Waugh,5.0,8,2
"Hard Contact (Star Wars: Republic Commando, Book 1)",4.561224489795919,Must Read,Good Book for Star Wars Fans,Average,Fiction,Karen Traviss,5.0,1,2
48 Laws of Power,4.149739583333333,Must Read,A Truly POWERFUL book,Must Read,"Body, Mind & Spirit",Robert Greene,5.0,4,5
The Pact: A Love Story,4.308849557522124,Must Read,Jodi Picoult's books,Average,Fiction,Jodi Picoult,5.0,1,2
the missing persons league,4.833333333333333,Must Read,One of those books you never forget,Good,"Vietnam War, 1961-1975",United States. Congress. House. Select Committee on Missing Persons in Southeast Asia,5.0,258,3
Complete Works of Oscar Wilde Hb,4.083333333333333,Must Read,"""I Hate It When Everyone Agrees With Me, For Then I Must Consider That I Might Be Wrong""",Poor,Drama,Oscar Wilde,5.0,20,1
"Cast, The",4.454545454545454,Must Read,The Cast,Average,Bibles,"Jennifer Knust, Tommy Wasserman",5.0,246,2
Easy Spanish Phrase Book: Over 770 Basic Phrases for Everyday Use (Dover Easy Phrase),4.069565217391304,Must Read,Very Functional,Average,Juvenile Nonfiction,"Dover Publications, Inc",5.0,120,2
Endymion Omnibus,5.0,Must Read,yes!,Good,Fantasy fiction,Dan Simmons,5.0,280,3
The Giver,4.2734170591313445,Must Read,So Much Potential Falls Flat,Average,Juvenile Fiction,Lois Lowry,5.0,9,2
Journey,3.7567567567567566,Very Good,gripping,Average,Religion,Dr. Andrew M. Davis,4.0,6,2
Bleak House (Penguin English Library),4.485576923076923,Must Read,Bleak House,Average,England,Charles Dickens,5.0,203,2
Life and Death of the Mayor of Casterbridge (New Wessex editions),4.183098591549296,Must Read,A Successful Novel About A Failed Life,Good,England,Thomas Hardy,5.0,203,3
Shin Megami Tensei: Nocturne--The Official Strategy Guide,4.4,Must Read,"A must have for players of the game, despite having many editing problems.",Average,Unknown,"DoubleJump Publishing, Incorporated",5.0,0,2
Introduction to Modular Forms (Grundlehren der mathematischen Wissenschaften),2.5,Good,"not a comprehensive reference, but useful nonetheless",Very Good,Unknown,Unknown,3.0,0,4
Giants of Japan: The Lives of Japan's Greatest Men and Women,5.0,Must Read,"great, easy to read book about important Japanesec",Must Read,Unknown,Unknown,5.0,0,5
